Base 10   Base 2    Base 4    Base 8    Base 12   Base 16
1         1         1         1         1         1         
2         10        2         2         2         2         
3         11        3         3         3         3         
4         100       10        4         4         4         
5         101       11        5         5         5         
6         110       12        6         6         6         
7         111       13        7         7         7         
8         1000      20        10        8         8         
9         1001      21        11        9         9         
10        1010      22        12        a         a         
11        1011      23        13        b         b         
12        1100      30        14        10        c         
13        1101      31        15        11        d         
